ID	ID_ALUNO	ID_CURSO	AcertosConhecEspecificos	PercenConhecEspecificos	AcertosfundaGerais	PercenFundaGerais	NotasTeste	PercenTotal	ClassGeral	ClassUnidade
569	569	569	9	30	6	60	15	37,5	22	10
570	570	570	18	60	8	80	26	65	11	4
571	571	571	9	30	7	70	16	40	21	9
572	572	572	14	46,67	9	90	23	57,5	14	8
573	573	573	13	43,33	7	70	20	50	17	9
574	574	574	6	20	4	40	10	25	27	13
575	575	575	12	40	6	60	18	45	19	7
576	576	576	10	33,33	7	70	17	42,5	20	8
577	577	577	12	40	6	60	18	45	19	3
578	578	578	13	43,33	9	90	22	55	15	8
579	579	579	9	30	6	60	15	37,5	22	15
580	580	580	14	46,67	5	50	19	47,5	18	10
581	581	581	11	36,67	8	80	19	47,5	18	11
582	582	582	9	30	3	30	12	30	25	18
583	583	583	11	36,67	7	70	18	45	19	11
584	584	584	8	26,67	4	40	12	30	25	13
585	585	585	16	53,33	6	60	22	55	15	6
586	586	586	12	40	6	60	18	45	19	8
587	587	587	11	36,67	8	80	19	47,5	18	5
588	588	588	7	23,33	5	50	12	30	25	18
589	589	589	19	63,33	10	100	29	72,5	8	1
590	590	590	15	50	7	70	22	55	15	6
591	591	591	12	40	5	50	17	42,5	20	6
592	592	592	11	36,67	6	60	17	42,5	20	8
593	593	593	15	50	7	70	22	55	15	8
594	594	594	10	33,33	6	60	16	40	21	9
595	595	595	11	36,67	7	70	18	45	19	11
596	596	596	14	46,67	10	100	24	60	13	6
597	597	597	10	33,33	7	70	17	42,5	20	8
598	598	598	10	33,33	6	60	16	40	21	10
599	599	599	11	36,67	9	90	20	50	17	4
600	600	600	19	63,33	4	40	23	57,5	14	7
601	601	601	14	46,67	9	90	23	57,5	14	1
602	602	602	16	53,33	10	100	26	65	11	2
603	603	603	8	26,67	9	90	17	42,5	20	7
604	604	604	12	40	10	100	22	55	15	8
605	605	605	16	53,33	7	70	23	57,5	14	8
606	606	606	21	70	7	70	28	70	9	3
607	607	607	11	36,67	9	90	20	50	17	2
608	608	608	12	40	7	70	19	47,5	18	10
609	609	609	23	76,67	8	80	31	77,5	6	2
610	610	610	15	50	9	90	24	60	13	4
611	611	611	20	66,67	9	90	29	72,5	8	3
612	612	612	11	36,67	8	80	19	47,5	18	7
613	613	613	12	40	7	70	19	47,5	18	9
614	614	614	8	26,67	2	20	10	25	27	11
615	615	615	17	56,67	9	90	26	65	11	1
616	616	616	10	33,33	4	40	14	35	23	11
617	617	617	17	56,67	10	100	27	67,5	10	4
618	618	618	9	30	8	80	17	42,5	20	9
619	619	619	14	46,67	6	60	20	50	17	4
620	620	620	14	46,67	9	90	23	57,5	14	5
621	621	621	13	43,33	9	90	22	55	15	6
622	622	622	6	20	5	50	11	27,5	26	14
623	623	623	17	56,67	7	70	24	60	13	6
624	624	624	9	30	7	70	16	40	21	8
625	625	625	6	20	7	70	13	32,5	24	12
626	626	626	13	43,33	7	70	20	50	17	6
627	627	627	12	40	7	70	19	47,5	18	6
628	628	628	13	43,33	9	90	22	55	15	4
629	629	629	10	33,33	4	40	14	35	23	11
630	630	630	11	36,67	6	60	17	42,5	20	5
631	631	631	11	36,67	6	60	17	42,5	20	8
632	632	632	8	26,67	9	90	17	42,5	20	10
633	633	633	5	16,67	5	50	10	25	27	14
634	634	634	13	43,33	7	70	20	50	17	5
635	635	635	13	43,33	7	70	20	50	17	8
636	636	636	11	36,67	7	70	18	45	19	12
637	637	637	13	43,33	6	60	19	47,5	18	7
638	638	638	13	43,33	9	90	22	55	15	2
639	639	639	11	36,67	7	70	18	45	19	12
640	640	640	15	50	9	90	24	60	13	2
641	641	641	15	50	9	90	24	60	13	3
642	642	642	9	30	9	90	18	45	19	12
643	643	643	16	53,33	7	70	23	57,5	14	4
644	644	644	12	40	7	70	19	47,5	18	3
645	645	645	8	26,67	3	30	11	27,5	26	14
646	646	646	18	60	10	100	28	70	9	4
647	647	647	15	50	6	60	21	52,5	16	1
648	648	648	14	46,67	10	100	24	60	13	6
649	649	649	10	33,33	5	50	15	37,5	22	10
650	650	650	10	33,33	9	90	19	47,5	18	6
651	651	651	12	40	8	80	20	50	17	11
652	652	652	6	20	8	80	14	35	23	11
653	653	653	17	56,67	9	90	26	65	11	1
654	654	654	12	40	10	100	22	55	15	8
655	655	655	6	20	8	80	14	35	23	16
656	656	656	11	36,67	9	90	20	50	17	8
657	657	657	13	43,33	5	50	18	45	19	6
658	658	658	21	70	10	100	31	77,5	6	1
659	659	659	9	30	6	60	15	37,5	22	9
660	660	660	11	36,67	8	80	19	47,5	18	11
661	661	661	6	20	5	50	11	27,5	26	14
662	662	662	13	43,33	3	30	16	40	21	14
663	663	663	12	40	5	50	17	42,5	20	8
664	664	664	8	26,67	4	40	12	30	25	13
665	665	665	10	33,33	6	60	16	40	21	7
666	666	666	9	30	5	50	14	35	23	11
667	667	667	12	40	8	80	20	50	17	5
668	668	668	7	23,33	7	70	14	35	23	16
669	669	669	10	33,33	8	80	18	45	19	12
670	670	670	16	53,33	9	90	25	62,5	12	1
671	671	671	16	53,33	7	70	23	57,5	14	8
672	672	672	9	30	6	60	15	37,5	22	10
673	673	673	5	16,67	8	80	13	32,5	24	10
674	674	674	11	36,67	5	50	16	40	21	11
675	675	675	7	23,33	10	100	17	42,5	20	7
676	676	676	20	66,67	9	90	29	72,5	8	2
677	677	677	13	43,33	9	90	22	55	15	9
678	678	678	20	66,67	7	70	27	67,5	10	3
679	679	679	18	60	9	90	27	67,5	10	4
680	680	680	22	73,33	9	90	31	77,5	6	1
681	681	681	17	56,67	8	80	25	62,5	12	2
682	682	682	9	30	6	60	15	37,5	22	6
683	683	683	18	60	10	100	28	70	9	2
684	684	684	11	36,67	8	80	19	47,5	18	7
685	685	685	6	20	7	70	13	32,5	24	11
686	686	686	21	70	8	80	29	72,5	8	2
687	687	687	10	33,33	5	50	15	37,5	22	13
688	688	688	15	50	8	80	23	57,5	14	7
689	689	689	19	63,33	9	90	28	70	9	3
690	690	690	11	36,67	5	50	16	40	21	5
691	691	691	17	56,67	8	80	25	62,5	12	6
692	692	692	11	36,67	5	50	16	40	21	8
693	693	693	14	46,67	10	100	24	60	13	5
694	694	694	17	56,67	9	90	26	65	11	5
695	695	695	11	36,67	9	90	20	50	17	6
696	696	696	11	36,67	9	90	20	50	17	11
697	697	697	14	46,67	9	90	23	57,5	14	7
698	698	698	9	30	6	60	15	37,5	22	10
699	699	699	10	33,33	6	60	16	40	21	5
700	700	700	14	46,67	6	60	20	50	17	4
701	701	701	14	46,67	9	90	23	57,5	14	1
702	702	702	13	43,33	9	90	22	55	15	9
703	703	703	19	63,33	9	90	28	70	9	4
704	704	704	14	46,67	7	70	21	52,5	16	7
705	705	705	16	53,33	10	100	26	65	11	5
706	706	706	16	53,33	8	80	24	60	13	6
707	707	707	12	40	8	80	20	50	17	6
708	708	708	5	16,67	6	60	11	27,5	26	14
709	709	709	20	66,67	7	70	27	67,5	10	3
710	710	710	13	43,33	7	70	20	50	17	5
711	711	711	10	33,33	9	90	19	47,5	18	7
712	712	712	9	30	4	40	13	32,5	24	11
713	713	713	6	20	3	30	9	22,5	1	1
714	714	714	16	53,33	5	50	21	52,5	16	1
715	715	715	18	60	7	70	25	62,5	12	6
716	716	716	19	63,33	10	100	29	72,5	8	3
717	717	717	13	43,33	7	70	20	50	17	8
718	718	718	11	36,67	6	60	17	42,5	20	4
719	719	719	15	50	9	90	24	60	13	6
720	720	720	11	36,67	8	80	19	47,5	18	7
721	721	721	14	46,67	6	60	20	50	17	2
722	722	722	15	50	8	80	23	57,5	14	8
723	723	723	13	43,33	7	70	20	50	17	6
724	724	724	6	20	6	60	12	30	25	11
725	725	725	11	36,67	6	60	17	42,5	20	12
726	726	726	13	43,33	5	50	18	45	19	11
727	727	727	12	40	9	90	21	52,5	16	4
728	728	728	18	60	6	60	24	60	13	7
729	729	729	8	26,67	5	50	13	32,5	24	11
730	730	730	8	26,67	8	80	16	40	21	14
731	731	731	4	13,33	7	70	11	27,5	26	14
732	732	732	7	23,33	6	60	13	32,5	24	12
733	733	733	9	30	5	50	14	35	23	10
734	734	734	7	23,33	2	20	9	22,5	1	1
735	735	735	9	30	7	70	16	40	21	9
736	736	736	13	43,33	8	80	21	52,5	16	10
737	737	737	15	50	9	90	24	60	13	6
738	738	738	13	43,33	10	100	23	57,5	14	1
739	739	739	7	23,33	9	90	16	40	21	9
740	740	740	6	20	5	50	11	27,5	26	13
741	741	741	13	43,33	8	80	21	52,5	16	5
742	742	742	10	33,33	9	90	19	47,5	18	7
743	743	743	12	40	7	70	19	47,5	18	9
744	744	744	8	26,67	5	50	13	32,5	24	12
745	745	745	14	46,67	6	60	20	50	17	5
746	746	746	10	33,33	6	60	16	40	21	8
747	747	747	11	36,67	4	40	15	37,5	22	6
748	748	748	11	36,67	7	70	18	45	19	3
749	749	749	12	40	7	70	19	47,5	18	10
750	750	750	14	46,67	8	80	22	55	15	3
751	751	751	10	33,33	8	80	18	45	19	3
752	752	752	9	30	8	80	17	42,5	20	13
753	753	753	16	53,33	7	70	23	57,5	14	7
754	754	754	8	26,67	9	90	17	42,5	20	7
755	755	755	7	23,33	5	50	12	30	25	8
756	756	756	11	36,67	3	30	14	35	23	7
757	757	757	12	40	7	70	19	47,5	18	12
758	758	758	13	43,33	8	80	21	52,5	16	4
759	759	759	6	20	6	60	12	30	25	13
760	760	760	11	36,67	2	20	13	32,5	24	8
761	761	761	7	23,33	6	60	13	32,5	24	11
762	762	762	15	50	10	100	25	62,5	12	3
763	763	763	11	36,67	4	40	15	37,5	22	6
764	764	764	16	53,33	3	30	19	47,5	18	9
765	765	765	13	43,33	7	70	20	50	17	6
766	766	766	12	40	7	70	19	47,5	18	3
767	767	767	22	73,33	10	100	32	80	5	1
768	768	768	17	56,67	7	70	24	60	13	4
769	769	769	13	43,33	6	60	19	47,5	18	2
770	770	770	13	43,33	8	80	21	52,5	16	7
771	771	771	8	26,67	7	70	15	37,5	22	9
772	772	772	12	40	3	30	15	37,5	22	10
773	773	773	18	60	9	90	27	67,5	10	3
774	774	774	14	46,67	6	60	20	50	17	8
775	775	775	12	40	5	50	17	42,5	20	10
776	776	776	15	50	7	70	22	55	15	8
777	777	777	10	33,33	5	50	15	37,5	22	9
778	778	778	10	33,33	5	50	15	37,5	22	11
779	779	779	5	16,67	4	40	9	22,5	1	1
780	780	780	15	50	9	90	24	60	13	5
781	781	781	12	40	10	100	22	55	15	6
782	782	782	10	33,33	10	100	20	50	17	9
783	783	783	4	13,33	4	40	8	20	2	2
784	784	784	10	33,33	7	70	17	42,5	20	8
785	785	785	14	46,67	8	80	22	55	15	2
786	786	786	8	26,67	6	60	14	35	23	11
787	787	787	10	33,33	8	80	18	45	9	5
788	788	788	11	36,67	7	70	18	45	9	4
789	789	789	6	20	8	80	14	35	13	9
790	790	790	8	26,67	7	70	15	37,5	12	6
791	791	791	10	33,33	7	70	17	42,5	10	3
792	792	792	7	23,33	5	50	12	30	15	11
793	793	793	4	13,33	5	50	9	22,5	18	10
794	794	794	12	40	8	80	20	50	7	6
795	795	795	12	40	8	80	20	50	7	2
796	796	796	9	30	9	90	18	45	9	4
797	797	797	17	56,67	8	80	25	62,5	2	1
798	798	798	10	33,33	7	70	17	42,5	10	9
799	799	799	13	43,33	6	60	19	47,5	8	7
800	800	800	9	30	7	70	16	40	11	7
801	801	801	11	36,67	6	60	17	42,5	10	9
802	802	802	15	50	8	80	23	57,5	4	1
803	803	803	14	46,67	8	80	22	55	5	2
804	804	804	10	33,33	8	80	18	45	9	4
805	805	805	15	50	5	50	20	50	7	4
806	806	806	7	23,33	5	50	12	30	15	11
807	807	807	6	20	7	70	13	32,5	14	7
808	808	808	12	40	8	80	20	50	7	4
809	809	809	15	50	8	80	23	57,5	4	3
810	810	810	15	50	8	80	23	57,5	4	3
811	811	811	14	46,67	6	60	20	50	7	4
812	812	812	8	26,67	8	80	16	40	11	7
813	813	813	14	46,67	8	80	22	55	5	2
814	814	814	9	30	7	70	16	40	11	7
815	815	815	7	23,33	6	60	13	32,5	14	10
816	816	816	11	36,67	3	30	14	35	13	12
817	817	817	11	36,67	7	70	18	45	9	5
818	818	818	7	23,33	4	40	11	27,5	16	15
819	819	819	9	30	5	50	14	35	13	12
820	820	820	11	36,67	9	90	20	50	7	6
821	821	821	9	30	7	70	16	40	11	10
822	822	822	7	23,33	6	60	13	32,5	14	7
823	823	823	6	20	9	90	15	37,5	12	8
824	824	824	11	36,67	7	70	18	45	9	5
825	825	825	14	46,67	8	80	22	55	5	4
826	826	826	9	30	6	60	15	37,5	12	9
827	827	827	8	26,67	3	30	11	27,5	16	8
828	828	828	15	50	7	70	22	55	5	4
829	829	829	8	26,67	7	70	15	37,5	12	8
830	830	830	5	16,67	7	70	12	30	15	7
831	831	831	9	30	6	60	15	37,5	12	4
832	832	832	4	13,33	9	90	13	32,5	14	6
833	833	833	13	43,33	8	80	21	52,5	6	5
834	834	834	13	43,33	8	80	21	52,5	6	2
835	835	835	12	40	7	70	19	47,5	8	7
836	836	836	12	40	8	80	20	50	7	2
837	837	837	7	23,33	7	70	14	35	13	9
838	838	838	13	43,33	7	70	20	50	7	4
839	839	839	11	36,67	7	70	18	45	9	5
840	840	840	6	20	8	80	14	35	13	5
841	841	841	12	40	9	90	21	52,5	6	3
842	842	842	10	33,33	4	40	14	35	13	10
843	843	843	7	23,33	8	80	15	37,5	12	4
844	844	844	12	40	9	90	21	52,5	6	5
845	845	845	15	50	6	60	21	52,5	6	5
846	846	846	11	36,67	5	50	16	40	11	7
847	847	847	15	50	8	80	23	57,5	4	3
848	848	848	4	13,33	6	60	10	25	17	12
849	849	849	14	46,67	8	80	22	55	5	2
850	850	850	12	40	8	80	20	50	7	6
851	851	851	11	36,67	8	80	19	47,5	8	7
852	852	852	10	33,33	6	60	16	40	11	10
853	853	853	10	33,33	9	90	19	47,5	8	7
854	854	854	15	50	5	50	20	50	7	3
855	855	855	7	23,33	6	60	13	32,5	14	10
856	856	856	18	60	7	70	25	62,5	2	2
857	857	857	8	26,67	7	70	15	37,5	12	11
858	858	858	10	33,33	4	40	14	35	13	5
859	859	859	9	30	7	70	16	40	11	7
860	860	860	8	26,67	7	70	15	37,5	12	8
861	861	861	9	30	8	80	17	42,5	10	9
862	862	862	14	46,67	6	60	20	50	7	6
863	863	863	11	36,67	8	80	19	47,5	8	7
864	864	864	10	33,33	8	80	18	45	9	6
865	865	865	9	30	8	80	17	42,5	10	6
866	866	866	4	13,33	7	70	11	27,5	16	8
867	867	867	7	23,33	7	70	14	35	13	9
868	868	868	11	36,67	7	70	18	45	9	4
869	869	869	13	43,33	6	60	19	47,5	8	7
870	870	870	9	30	7	70	16	40	11	7
871	871	871	9	30	7	70	16	40	11	7
872	872	872	8	26,67	5	50	13	32,5	14	10
873	873	873	11	36,67	7	70	18	45	9	4
874	874	874	5	16,67	8	80	13	32,5	14	13
875	875	875	13	43,33	7	70	20	50	7	6
876	876	876	13	43,33	7	70	20	50	7	6
877	877	877	15	50	7	70	22	55	5	4
878	878	878	13	43,33	10	100	23	57,5	4	1
879	879	879	11	36,67	4	40	15	37,5	12	4
880	880	880	10	33,33	5	50	15	37,5	12	4
881	881	881	18	60	7	70	25	62,5	2	1
882	882	882	10	33,33	6	60	16	40	11	8
883	883	883	5	16,67	6	60	11	27,5	16	8
884	884	884	14	46,67	8	80	22	55	5	4
885	885	885	8	26,67	7	70	15	37,5	12	4
886	886	886	6	20	6	60	12	30	15	14
887	887	887	11	36,67	4	40	15	37,5	12	4
888	888	888	14	46,67	9	90	23	57,5	4	1
889	889	889	8	26,67	5	50	13	32,5	14	10
890	890	890	13	43,33	7	70	20	50	7	4
891	891	891	8	26,67	7	70	15	37,5	12	8
892	892	892	9	30	8	80	17	42,5	10	9
893	893	893	7	23,33	8	80	15	37,5	12	8
894	894	894	8	26,67	6	60	14	35	13	12
895	895	895	7	23,33	8	80	15	37,5	12	4
896	896	896	7	23,33	6	60	13	32,5	14	10
897	897	897	16	53,33	9	90	25	62,5	2	1
898	898	898	7	23,33	3	30	10	25	17	9
899	899	899	7	23,33	5	50	12	30	15	7
900	900	900	12	40	7	70	19	47,5	8	7
901	901	901	17	56,67	7	70	24	60	3	2
902	902	902	6	20	8	80	14	35	13	10
903	903	903	11	36,67	6	60	17	42,5	10	6
904	904	904	9	30	7	70	16	40	11	7
905	905	905	8	26,67	5	50	13	32,5	14	6
906	906	906	12	40	7	70	19	47,5	8	7
907	907	907	11	36,67	7	70	18	45	9	8
908	908	908	12	40	7	70	19	47,5	8	7
909	909	909	9	30	5	50	14	35	13	10
910	910	910	9	30	8	80	17	42,5	10	3
911	911	911	12	40	7	70	19	47,5	8	7
912	912	912	16	53,33	7	70	23	57,5	4	3
913	913	913	11	36,67	7	70	18	45	9	6
914	914	914	19	63,33	9	90	28	70	1	1
915	915	915	5	16,67	7	70	12	30	15	11
916	916	916	4	13,33	5	50	9	22,5	18	10
917	917	917	10	33,33	7	70	17	42,5	10	7
918	918	918	8	26,67	7	70	15	37,5	12	11
919	919	919	11	36,67	6	60	17	42,5	10	5
920	920	920	12	40	7	70	19	47,5	8	5
921	921	921	12	40	6	60	18	45	9	8
922	922	922	8	26,67	4	40	12	30	15	11
923	923	923	16	53,33	6	60	22	55	5	1
924	924	924	8	26,67	5	50	13	32,5	14	2
925	925	925	9	30	2	20	11	27,5	18	10
926	926	926	10	33,33	6	60	16	40	13	3
927	927	927	11	36,67	4	40	15	37,5	14	10
928	928	928	2	6,67	3	30	5	12,5	24	8
929	929	929	6	20	5	50	11	27,5	18	10
930	930	930	10	33,33	3	30	13	32,5	16	5
931	931	931	18	60	8	80	26	65	3	2
932	932	932	13	43,33	5	50	18	45	11	5
933	933	933	9	30	4	40	13	32,5	16	13
934	934	934	11	36,67	8	80	19	47,5	10	4
935	935	935	9	30	5	50	14	35	15	9
936	936	936	12	40	5	50	17	42,5	12	8
937	937	937	11	36,67	6	60	17	42,5	12	6
938	938	938	12	40	6	60	18	45	11	7
939	939	939	6	20	8	80	14	35	15	7
940	940	940	9	30	5	50	14	35	15	4
941	941	941	7	23,33	6	60	13	32,5	16	8
942	942	942	12	40	5	50	17	42,5	12	8
943	943	943	12	40	7	70	19	47,5	10	2
944	944	944	17	56,67	6	60	23	57,5	6	3
945	945	945	10	33,33	2	20	12	30	17	9
946	946	946	12	40	6	60	18	45	11	8
947	947	947	4	13,33	7	70	11	27,5	18	14
948	948	948	14	46,67	7	70	21	52,5	8	2
949	949	949	11	36,67	6	60	17	42,5	12	5
950	950	950	12	40	6	60	18	45	11	4
951	951	951	9	30	5	50	14	35	15	12
952	952	952	12	40	4	40	16	40	13	10
953	953	953	12	40	6	60	18	45	11	5
954	954	954	10	33,33	7	70	17	42,5	12	6
955	955	955	9	30	6	60	15	37,5	14	8
956	956	956	5	16,67	6	60	11	27,5	18	6
957	957	957	10	33,33	4	40	14	35	15	12
958	958	958	7	23,33	4	40	11	27,5	18	15
959	959	959	10	33,33	7	70	17	42,5	12	2
960	960	960	8	26,67	5	50	13	32,5	16	5
961	961	961	11	36,67	5	50	16	40	13	7
962	962	962	10	33,33	7	70	17	42,5	12	4
963	963	963	11	36,67	5	50	16	40	13	6
964	964	964	9	30	7	70	16	40	13	7
965	965	965	8	26,67	6	60	14	35	15	9
966	966	966	14	46,67	6	60	20	50	9	2
967	967	967	12	40	7	70	19	47,5	10	2
968	968	968	11	36,67	5	50	16	40	13	6
969	969	969	13	43,33	6	60	19	47,5	10	7
970	970	970	13	43,33	4	40	17	42,5	12	9
971	971	971	9	30	3	30	12	30	17	11
972	972	972	10	33,33	6	60	16	40	13	5
973	973	973	11	36,67	3	30	14	35	15	11
974	974	974	9	30	3	30	12	30	17	9
975	975	975	12	40	4	40	16	40	13	5
976	976	976	10	33,33	5	50	15	37,5	14	3
977	977	977	9	30	4	40	13	32,5	16	5
978	978	978	15	50	7	70	22	55	7	4
979	979	979	11	36,67	3	30	14	35	15	9
980	980	980	4	13,33	5	50	9	22,5	20	17
981	981	981	9	30	8	80	17	42,5	12	2
982	982	982	6	20	4	40	10	25	19	13
983	983	983	11	36,67	5	50	16	40	13	9
984	984	984	10	33,33	6	60	16	40	13	6
985	985	985	7	23,33	4	40	11	27,5	18	7
986	986	986	15	50	6	60	21	52,5	8	3
987	987	987	7	23,33	4	40	11	27,5	18	15
988	988	988	12	40	6	60	18	45	11	5
989	989	989	8	26,67	6	60	14	35	15	9
990	990	990	17	56,67	3	30	20	50	9	1
991	991	991	11	36,67	4	40	15	37,5	14	11
992	992	992	10	33,33	7	70	17	42,5	12	6
993	993	993	3	10	3	30	6	15	23	13
994	994	994	14	46,67	6	60	20	50	9	3
995	995	995	14	46,67	8	80	22	55	7	1
996	996	996	9	30	5	50	14	35	15	4
997	997	997	14	46,67	4	40	18	45	11	5
998	998	998	13	43,33	6	60	19	47,5	10	3
999	999	999	14	46,67	6	60	20	50	9	6
1000	1000	1000	10	33,33	4	40	14	35	15	7
1001	1001	1001	12	40	6	60	18	45	11	4
1002	1002	1002	7	23,33	7	70	14	35	15	7
1003	1003	1003	11	36,67	2	20	13	32,5	16	12
1004	1004	1004	12	40	6	60	18	45	11	7
1005	1005	1005	10	33,33	3	30	13	32,5	16	8
1006	1006	1006	11	36,67	5	50	16	40	13	7
1007	1007	1007	10	33,33	6	60	16	40	13	7
1008	1008	1008	10	33,33	6	60	16	40	13	7
1009	1009	1009	10	33,33	5	50	15	37,5	14	8
1010	1010	1010	10	33,33	8	80	18	45	11	1
1011	1011	1011	8	26,67	4	40	12	30	17	6
1012	1012	1012	7	23,33	3	30	10	25	19	13
1013	1013	1013	14	46,67	4	40	18	45	11	7
1014	1014	1014	10	33,33	3	30	13	32,5	16	5
1015	1015	1015	8	26,67	6	60	14	35	15	7
1016	1016	1016	8	26,67	4	40	12	30	17	11
1017	1017	1017	7	23,33	6	60	13	32,5	16	5
1018	1018	1018	12	40	5	50	17	42,5	12	4
1019	1019	1019	9	30	5	50	14	35	15	7
1020	1020	1020	5	16,67	3	30	8	20	21	15
1021	1021	1021	7	23,33	4	40	11	27,5	18	10
1022	1022	1022	9	30	2	20	11	27,5	18	12
1023	1023	1023	12	40	3	30	15	37,5	14	8
1024	1024	1024	13	43,33	6	60	19	47,5	10	4
1025	1025	1025	7	23,33	6	60	13	32,5	16	10
1026	1026	1026	8	26,67	4	40	12	30	17	11
1027	1027	1027	11	36,67	5	50	16	40	13	6
1028	1028	1028	10	33,33	7	70	17	42,5	12	2
1029	1029	1029	7	23,33	5	50	12	30	17	11
1030	1030	1030	10	33,33	8	80	18	45	11	5
1031	1031	1031	10	33,33	6	60	16	40	13	5
1032	1032	1032	13	43,33	4	40	17	42,5	12	4
1033	1033	1033	9	30	2	20	11	27,5	18	10
1034	1034	1034	8	26,67	6	60	14	35	15	7
1035	1035	1035	11	36,67	8	80	19	47,5	10	3
1036	1036	1036	13	43,33	4	40	17	42,5	12	9
1037	1037	1037	6	20	4	40	10	25	19	11
1038	1038	1038	8	26,67	4	40	12	30	17	14
1039	1039	1039	8	26,67	6	60	14	35	15	7
1040	1040	1040	12	40	4	40	16	40	13	5
1041	1041	1041	9	30	3	30	12	30	17	13
1042	1042	1042	10	33,33	5	50	15	37,5	14	8
1043	1043	1043	13	43,33	6	60	19	47,5	10	4
1044	1044	1044	9	30	4	40	13	32,5	16	8
1045	1045	1045	12	40	5	50	17	42,5	12	4
1046	1046	1046	12	40	5	50	17	42,5	12	4
1047	1047	1047	5	16,67	4	40	9	22,5	20	7
1048	1048	1048	4	13,33	7	70	11	27,5	18	15
1049	1049	1049	11	36,67	7	70	18	45	11	4
1050	1050	1050	8	26,67	7	70	15	37,5	14	6
1051	1051	1051	8	26,67	3	30	11	27,5	18	2
1052	1052	1052	12	40	6	60	18	45	11	5
1053	1053	1053	14	46,67	6	60	20	50	9	1
1054	1054	1054	13	43,33	5	50	18	45	11	5
1055	1055	1055	12	40	5	50	17	42,5	12	6
1056	1056	1056	5	16,67	5	50	10	25	19	15
1057	1057	1057	11	36,67	7	70	18	45	11	7
1058	1058	1058	13	43,33	6	60	19	47,5	10	2
1059	1059	1059	9	30	8	80	17	42,5	12	6
1060	1060	1060	14	46,67	5	50	19	47,5	10	7
1061	1061	1061	10	33,33	5	50	15	37,5	14	11
1062	1062	1062	12	40	5	50	17	42,5	12	6
1063	1063	1063	8	26,67	6	60	14	35	15	4
1064	1064	1064	7	23,33	9	90	16	40	13	7
1065	1065	1065	8	26,67	6	60	14	35	15	9
1066	1066	1066	10	33,33	5	50	15	37,5	14	10
1067	1067	1067	11	36,67	6	60	17	42,5	12	5
1068	1068	1068	4	13,33	2	20	6	15	23	10
1069	1069	1069	7	23,33	4	40	11	27,5	18	12
1070	1070	1070	12	40	8	80	20	50	9	3
1071	1071	1071	16	53,33	7	70	23	57,5	6	1
1072	1072	1072	3	10	5	50	8	20	21	16
1073	1073	1073	11	36,67	6	60	17	42,5	12	8
1074	1074	1074	5	16,67	6	60	11	27,5	18	10
1075	1075	1075	9	30	8	80	17	42,5	12	6
1076	1076	1076	12	40	4	40	16	40	13	6
1077	1077	1077	11	36,67	7	70	18	45	11	4
1078	1078	1078	11	36,67	6	60	17	42,5	12	6
1079	1079	1079	10	33,33	9	90	19	47,5	10	3
1080	1080	1080	9	30	4	40	13	32,5	16	8
1081	1081	1081	16	53,33	8	80	24	60	5	3
1082	1082	1082	11	36,67	6	60	17	42,5	12	4
1083	1083	1083	6	20	3	30	9	22,5	20	14
1084	1084	1084	19	63,33	9	90	28	70	1	1
1085	1085	1085	12	40	6	60	18	45	11	5
1086	1086	1086	7	23,33	5	50	12	30	17	9
1087	1087	1087	13	43,33	6	60	19	47,5	10	4
1088	1088	1088	9	30	7	70	16	40	13	5
1089	1089	1089	11	36,67	4	40	15	37,5	14	1
1090	1090	1090	12	40	6	60	18	45	11	3
1091	1091	1091	15	50	5	50	20	50	9	1
1092	1092	1092	16	53,33	4	40	20	50	9	2
1093	1093	1093	10	33,33	7	70	17	42,5	12	6
1094	1094	1094	6	20	8	80	14	35	15	4
1095	1095	1095	14	46,67	7	70	21	52,5	8	5
1096	1096	1096	13	43,33	5	50	18	45	11	8
1097	1097	1097	18	60	7	70	25	62,5	4	1
1098	1098	1098	12	40	7	70	19	47,5	10	4
1099	1099	1099	17	56,67	7	70	24	60	5	2
1100	1100	1100	16	53,33	8	80	24	60	5	1
1101	1101	1101	14	46,67	5	50	19	47,5	10	6
1102	1102	1102	9	30	4	40	13	32,5	16	13
1103	1103	1103	10	33,33	3	30	13	32,5	16	10
1104	1104	1104	8	26,67	2	20	10	25	19	8
1105	1105	1105	13	43,33	4	40	17	42,5	12	4
1106	1106	1106	11	36,67	5	50	16	40	13	6
1107	1107	1107	17	56,67	5	50	22	55	7	4
1108	1108	1108	13	43,33	5	50	18	45	11	5
1109	1109	1109	13	43,33	6	60	19	47,5	10	2
1110	1110	1110	8	26,67	5	50	13	32,5	16	10
1111	1111	1111	12	40	3	30	15	37,5	14	8
1112	1112	1112	10	33,33	7	70	17	42,5	12	2
1113	1113	1113	2	6,67	6	60	8	20	21	9
1114	1114	1114	9	30	2	20	11	27,5	18	10
1115	1115	1115	10	33,33	5	50	15	37,5	14	6
1116	1116	1116	12	40	7	70	19	47,5	10	7
1117	1117	1117	15	50	7	70	22	55	7	2
1118	1118	1118	12	40	4	40	16	40	13	7
1119	1119	1119	11	36,67	6	60	17	42,5	12	6
1120	1120	1120	11	36,67	8	80	19	47,5	10	4
1121	1121	1121	12	40	9	90	21	52,5	8	5
1122	1122	1122	8	26,67	5	50	13	32,5	16	10
1123	1123	1123	14	46,67	6	60	20	50	9	6
1124	1124	1124	12	40	8	80	20	50	9	1
